ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
27460576,2025-10-10 15:16:01,Funny Bobo Edutainment Rhymes,0.0087,141.0,20,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27457663,2025-10-10 10:07:07,Unidentified,0.087,779.0,200,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27457359,2025-10-10 09:36:53,Funny Bobo Edutainment Rhymes,0.0087,284.0,20,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27457357,2025-10-10 09:36:45,Funny Bobo Edutainment Rhymes,0.0087,328.0,20,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27457355,2025-10-10 09:36:37,Funny Bobo Edutainment Rhymes,0.0087,1.0,20,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27457353,2025-10-10 09:36:28,Funny Bobo Edutainment Rhymes,0.0174,42.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447755,2025-10-09 17:20:21,Unidentified,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447716,2025-10-09 17:17:06,Unidentified,0.054962,0.0,10,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27447707,2025-10-09 17:16:37,Unidentified,0.0435,0.0,100,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447631,2025-10-09 17:11:24,Unidentified,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447438,2025-10-09 17:01:18,Unidentified,0.054962,0.0,10,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27447421,2025-10-09 17:01:03,Unidentified,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27447415,2025-10-09 17:00:58,Unidentified,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447168,2025-10-09 16:44:13,Unidentified,0.0435,598.0,100,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447166,2025-10-09 16:44:03,Unidentified,0.28275,0.0,650,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447088,2025-10-09 16:36:56,Unidentified,0.23925,0.0,550,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447087,2025-10-09 16:36:53,Unidentified,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27447026,2025-10-09 16:32:26,Unidentified,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27447013,2025-10-09 16:31:30,Unidentified,0.3045,0.0,700,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446808,2025-10-09 16:18:03,Unidentified,0.36975,0.0,850,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446796,2025-10-09 16:17:58,Unidentified,0.219848,0.0,40,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27446749,2025-10-09 16:12:32,Unidentified,0.10875,605.0,250,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446740,2025-10-09 16:11:38,Unidentified,0.219848,0.0,40,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27446738,2025-10-09 16:11:29,Unidentified,0.348,0.0,800,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446653,2025-10-09 16:05:32,Unidentified,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27446650,2025-10-09 16:05:21,Unidentified,0.261,0.0,600,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431666,2025-10-08 16:33:04,HP Crunchy,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431621,2025-10-08 16:29:47,Funny Crushing Experiment,0.027481,0.0,5,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27431619,2025-10-08 16:29:38,Funny Crushing Experiment,0.0435,0.0,100,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431591,2025-10-08 16:26:21,Tiny DIY Craft,0.15225,0.0,350,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431318,2025-10-08 16:00:22,Thomas Satisfying,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431288,2025-10-08 15:57:54,Mini Toys World,0.0439696,0.0,8,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27431224,2025-10-08 15:57:34,Rainbow Number,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27431208,2025-10-08 15:56:37,Mini Toys World,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431003,2025-10-08 15:38:24,Lollipop ASMR,0.0174,15.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430981,2025-10-08 15:36:33,Rainbow Number,0.2175,0.0,500,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430949,2025-10-08 15:33:25,Rainbow Number,0.2175,0.0,500,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430946,2025-10-08 15:33:14,Rainbow Number,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430907,2025-10-08 15:29:23,Rainbow Number,0.2175,0.0,500,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430906,2025-10-08 15:29:22,Rainbow Number,0.1868708,0.0,34,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430847,2025-10-08 15:22:35,Number B,0.36975,0.0,850,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430830,2025-10-08 15:21:11,Number B,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430786,2025-10-08 15:17:30,Number B,0.348,0.0,800,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430783,2025-10-08 15:17:14,Number B,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430706,2025-10-08 15:10:20,Number B,0.3045,0.0,700,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430705,2025-10-08 15:10:17,Number B,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430644,2025-10-08 15:03:28,Number A,0.06525,711.0,150,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430641,2025-10-08 15:03:10,Number A,0.3045,0.0,700,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430640,2025-10-08 15:03:01,Number A,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430556,2025-10-08 14:57:07,Number A,0.28275,0.0,650,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430552,2025-10-08 14:56:54,Number A,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430388,2025-10-08 14:37:54,HP Mini DIY Tractor,0.06525,623.0,150,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430370,2025-10-08 14:37:27,Number A,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430358,2025-10-08 14:37:18,Number A,0.3045,0.0,700,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430290,2025-10-08 14:31:12,HP Mini DIY Tractor,0.087,590.0,200,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430280,2025-10-08 14:30:55,HP Mini DIY Tractor,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430279,2025-10-08 14:30:46,HP Mini DIY Tractor,0.261,0.0,600,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430057,2025-10-08 14:06:16,HP Mini DIY Tractor,0.192367,0.0,35,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
27430052,2025-10-08 14:06:03,HP Mini DIY Tractor,0.2175,0.0,500,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27429005,2025-10-08 12:23:30,Funny Bobo Edutainment Rhymes,0.0087,3.0,20,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27428719,2025-10-08 11:46:25,Funny Bobo Edutainment Rhymes,0.0174,85.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27428717,2025-10-08 11:46:16,Funny Bobo Edutainment Rhymes,0.0174,85.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27416566,2025-10-07 16:49:23,HP Crunchy,0.0174,0.0,40,7260 - Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27416539,2025-10-07 16:46:16,Funny Crushing Experiment,0.027481,0.0,5,13282 - Youtube Custom Comments | 𝗨𝗦𝗔 | Speed 10k/D,Completed,0
